source,state,county,species_or_flock_type,flock_size,hpai_strain,outbreak_date,date_detected,date_collected,date_confirmed,woah_classification,sampling_method,submitting_agency
APHIS - HPAI Detections in Mammals,Michigan,Wexford,Coyote,,EA H5N1,,6/17/2022,5/3/2022,"","","",""
APHIS - HPAI Detections in Mammals,Idaho,Latah,Striped skunk,,EA H5N1,,6/21/2022,6/5/2022,"","","",""
APHIS - HPAI Detections in Mammals,Idaho,Adams,Striped skunk,,EA H5N1,,6/22/2022,6/7/2022,"","","",""
APHIS - HPAI Detections in Mammals,Idaho,Adams,Striped skunk,,EA H5N1,,6/22/2022,6/7/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Iron,Raccoon,,EA H5N1,,6/24/2022,6/20/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Chippewa,Red fox,,EA H5N1,,6/24/2022,5/31/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,St Croix,Fisher,,EA H5N1,,6/29/2022,4/14/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,Lincoln,Harbor seal,,EA H5N1,,7/1/2022,6/27/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,Sagadahoc,Harbor seal,,EA H5N1,,7/1/2022,6/26/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,Cumberland,Harbor seal,,EA H5N1,,7/1/2022,6/24/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,York,Harbor seal,,EA H5N1,,7/1/2022,6/22/2022,"","","",""
APHIS - HPAI Detections in Mammals,Washington,Stevens,Raccoon,,EA/AM H5N1,,7/6/2022,6/29/2022,"","","",""
APHIS - HPAI Detections in Mammals,Alaska,Nome Census Area,Red fox,,EA/AM H5N1,,7/7/2022,6/13/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,Cumberland,Harbor seal,,EA H5N1,,7/11/2022,7/2/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,Lincoln,Harbor seal,,EA H5N1,,7/11/2022,7/2/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,Cumberland,Harbor seal,,EA H5N1,,7/11/2022,7/1/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,Sagadahoc,Grey seal,,EA H5N1,,7/11/2022,7/1/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,Cumberland,Harbor seal,,EA H5N1,,7/11/2022,6/29/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,Cumberland,Harbor seal,,EA H5N1,,7/11/2022,6/28/2022,"","","",""
APHIS - HPAI Detections in Mammals,Michigan,Bay,Red fox,,EA H5N1,,7/18/2022,5/15/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,York,Harbor seal,,EA H5N1,,7/25/2022,7/10/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,Cumberland,Harbor seal,,EA H5N1,,7/25/2022,7/9/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,York,Harbor seal,,EA H5N1,,7/25/2022,7/9/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,Cumberland,Harbor seal,,EA H5N1,,7/25/2022,7/8/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,Cumberland,Harbor seal,,EA H5N1,,7/25/2022,7/7/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,Sagadahoc,Harbor seal,,EA H5N1,,7/25/2022,7/5/2022,"","","",""
APHIS - HPAI Detections in Mammals,Idaho,Ada,Skunk (unidentified),,EA H5N1,,8/3/2022,7/22/2022,"","","",""
APHIS - HPAI Detections in Mammals,Maine,York,Harbor seal,,EA H5N1,,8/15/2022,7/13/2022,"","","",""
APHIS - HPAI Detections in Mammals,Florida,Dixie,Bottlenose dolphin,,EA/AM H5N1,,8/17/2022,3/30/2022,"","","",""
APHIS - HPAI Detections in Mammals,New York,Onondaga,Amur Leopard,,EA H5N1,,9/27/2022,9/17/2022,"","","",""
APHIS - HPAI Detections in Mammals,New York,Cayuga,Red Fox,,EA/AM H5N1,,10/6/2022,9/19/2022,"","","",""
APHIS - HPAI Detections in Mammals,New York,Cayuga,Red Fox,,EA/AM H5N1,,10/6/2022,9/19/2022,"","","",""
APHIS - HPAI Detections in Mammals,New York,Cayuga,Red Fox,,EA/AM H5N1,,10/6/2022,9/19/2022,"","","",""
APHIS - HPAI Detections in Mammals,New York,Cayuga,Red Fox,,EA/AM H5N1,,10/6/2022,9/19/2022,"","","",""
APHIS - HPAI Detections in Mammals,Illinois,Cook,Virginia opossum,,EA/AM H5N1,,10/26/2022,10/4/2022,"","","",""
APHIS - HPAI Detections in Mammals,New York,Tompkins,Red Fox,,EA H5N1,,10/27/2022,10/20/2022,"","","",""
APHIS - HPAI Detections in Mammals,Montana,Gallatin,Skunk (unidentified),,EA H5N1,,10/28/2022,10/20/2022,"","","",""
APHIS - HPAI Detections in Mammals,Minnesota,Itasca,Striped skunk,,EA/AM H5N1,,11/3/2022,10/21/2022,"","","",""
APHIS - HPAI Detections in Mammals,Colorado,Weld,Striped skunk,,EA H5N1,,11/10/2022,10/17/2022,"","","",""
APHIS - HPAI Detections in Mammals,Alaska,Hoonah-Angoon,American black bear,,EA/AM H5N1,,11/16/2022,10/20/2022,"","","",""
APHIS - HPAI Detections in Mammals,Idaho,Jefferson,Striped skunk,,EA H5N1,,11/21/2022,11/4/2022,"","","",""
APHIS - HPAI Detections in Mammals,Idaho,Jefferson,Striped skunk,,EA H5N1,,11/21/2022,11/4/2022,"","","",""
APHIS - HPAI Detections in Mammals,Idaho,Jefferson,Striped skunk,,EA H5N1,,11/21/2022,11/4/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Douglas,Striped skunk,,EA/AM H5N1,,11/21/2022,11/15/2022,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Douglas,Striped skunk,,EA/AM H5N1,,11/21/2022,11/15/2022,"","","",""
APHIS - HPAI Detections in Mammals,Montana,Madison,Red fox,,EA H5N1,,12/2/2022,11/22/2022,"","","",""
APHIS - HPAI Detections in Mammals,Alaska,Kodiak Island,Kodiak bear,,EA H5N1,,12/6/2022,11/29/2022,"","","",""
APHIS - HPAI Detections in Mammals,Montana,Teton,Grizzly bear,,EA/AM H5N1,,12/6/2022,10/31/2022,"","","",""
APHIS - HPAI Detections in Mammals,Oregon,Columbia,Skunk (unidentified),,EA/AM H5N1,,12/8/2022,11/28/2022,"","","",""
APHIS - HPAI Detections in Mammals,Oregon,Columbia,Skunk (unidentified),,EA/AM H5N1,,12/8/2022,11/28/2022,"","","",""
APHIS - HPAI Detections in Mammals,Oregon,Columbia,Skunk (unidentified),,EA/AM H5N1,,12/8/2022,11/28/2022,"","","",""
APHIS - HPAI Detections in Mammals,Oregon,Columbia,Skunk (unidentified),,EA/AM H5N1,,12/8/2022,11/28/2022,"","","",""
APHIS - HPAI Detections in Mammals,Nebraska,Scotts Bluff,Grizzly bear,,EA/AM H5N1,,12/16/2022,4/20/2022,"","","",""
APHIS - HPAI Detections in Mammals,Washington,Island,Raccoon,,EA H5N1,,12/16/2022,12/7/2022,"","","",""
APHIS - HPAI Detections in Mammals,Montana,Flathead,Grizzly bear,,EA/AM H5N1,,12/20/2022,12/16/2022,"","","",""
APHIS - HPAI Detections in Mammals,Montana,Cascade,Striped skunk,,EA H5N1,,12/20/2022,12/16/2022,"","","",""
APHIS - HPAI Detections in Mammals,Nebraska,Scotts Bluff,Mountain lion,,EA/AM H5N1,,1/3/2023,12/21/2022,"","","",""
APHIS - HPAI Detections in Mammals,Nebraska,Scotts Bluff,Amur tiger,,EA/AM H5N1,,1/3/2023,12/21/2022,"","","",""
APHIS - HPAI Detections in Mammals,Oregon,Curry,Raccoon,,EA H5N1,,1/3/2023,12/19/2022,"","","",""
APHIS - HPAI Detections in Mammals,South Dakota,Spink,Red fox,,EA/AM H5N1,,1/9/2023,12/7/2022,"","","",""
APHIS - HPAI Detections in Mammals,Idaho,Madison,Red fox,,EA H5N1,,1/20/2023,9/20/2022,"","","",""
APHIS - HPAI Detections in Mammals,Washington,Spokane,Bobcat,,EA H5N1,,1/23/2023,1/11/2023,"","","",""
APHIS - HPAI Detections in Mammals,Wisconsin,Dane,Red fox,,EA H5N1,,1/23/2023,1/9/2023,"","","",""
